标识,函数类型,题图,模板标题,编程语言（页面展示）,运行时版本,入口函数名称,是否是编译型语言,ZipFile 地址,zipFile文件,描述,标签组,说明示例,镜像路径,服务端口,对外隐藏,排序,跳转链接,语言,陈列页面,Git仓库地址（默认github）,模板归类,服务环境变量,目标平台,模板ID,git仓库列表,使用指引
openapi-get-phonenumber,"[""scfFunc""]",,云调用解析用户手机号,javascript,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/97b65676ef712bda404bef7f62c271ec-gtc3bqxawrqjviz77g90e21m8d2yytqg_.zip,云调用获取用户手机号（需要在微信 IDE 重新下载和部署）,"[""微信小程序"",""云开发"",""云函数"",""wx-server-sdk"",""手机号获取"",""云调用"",""openapi"",""用户授权""]","在小程序端调用此云函数时，需要传入code参数：

```javascript
// 小程序端调用示例
wx.cloud
  .callFunction({
    name: 'get-phoneNumber',
    data: {
      code: event.detail.code, // 从获取手机号按钮事件中获取
    },
  })
  .then((res) => {
    console.log('手机号信息：', res.result);
  })
  .catch((err) => {
    console.error('获取手机号失败：', err);
  });
```

这将会在调试器中输出如下结构的对象：

```json
{
  ""errcode"": 0,
  ""errmsg"": ""ok"",
  ""phone_info"": {
    ""phoneNumber"": ""xxxxxx"",
    ""purePhoneNumber"": ""xxxxxx"",
    ""countryCode"": 86,
    ""watermark"": {
      ""timestamp"": 1637744274,
      ""appid"": ""xxxx""
    }
  }
}
```

注意事项：

1. 需要在微信小程序管理后台开启""获取手机号""功能
2. 确保已经安装最新版本的wx-server-sdk
3. code只能使用一次，且有效期为5分钟",,,,5,,中文,,,,,"[""国际站"",""国内站""]",,,
post-management-collection,"[""scfFunc""]",,文章管理模板,javascript,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/6f25a15475c78c45fbe9a8868a0a036f-wz8csx138xckxorpvva4elh8x9bcgkrz_.zip,文章管理云函数，包含 collection 操作示例,"[""云开发"",""数据库"",""JavaScript"",""CRUD"",""分页查询"",""全文搜索""]","你可以使用这个云函数来管理文章。在小程序中测试调用这个云函数的示例代码如下：

```js
// 创建文章
wx.cloud.callFunction({
  name: 'post-management',
  data: {
    action: 'createPost',
    data: {
      title: '我的第一篇文章',
      content: '这是文章内容',
      author: '张三',
    }
  }
}).then(res => {
  console.log('创建文章结果：', res)
})

// 响应示例
{
  ""id"": ""64c9f5a79f6c8e0001b60b0a"",
  ""requestId"": ""1735086147_0.36272387876657_33594-193f355e_1""
}

// 更新文章
wx.cloud.callFunction({
  name: 'post-management',
  data: {
    action: 'updatePost',
    data: {
      id: '64c9f5a79f6c8e0001b60b0a',
      post: {
        content: '更新后的文章内容'
      }
    }
  }
}).then(res => {
  console.log('更新文章结果：', res)
})

// 响应示例
{
  ""id"": ""64c9f5a79f6c8e0001b60b0a"",
  ""updated"": 1
}

// 删除文章
wx.cloud.callFunction({
  name: 'post-management',
  data: {
    action: 'deletePost',
    data: {
      id: '64c9f5a79f6c8e0001b60b0a'
    }
  }
}).then(res => {
  console.log('删除文章结果：', res)
})

// 响应示例
{
  ""requestId"": ""1735086147_0.36272387876657_33594-193f355e_1"",
  ""deleted"": 1
}

// 获取单篇文章
wx.cloud.callFunction({
  name: 'post-management',
  data: {
    action: 'getPost',
    data: {
      id: '64c9f5a79f6c8e0001b60b0a'
    }
  }
}).then(res => {
  console.log('获取文章结果：', res)
})

// 响应示例
{
  ""data"": [
    {
      ""_id"": ""64c9f5a79f6c8e0001b60b0a"",
      ""title"": ""我的第一篇文章"",
      ""content"": ""这是文章内容"",
      ""author"": ""张三""
      // ...
    }
  ],
  ""requestId"": ""1735086147_0.36272387876657_33594-193f355e_1""
}

// 分页获取文章列表
wx.cloud.callFunction({
  name: 'post-management',
  data: {
    action: 'listPosts',
    data: {
      page: 1,
      pageSize: 10
    }
  }
}).then(res => {
  console.log('获取文章列表结果：', res)
})

// 响应示例
{
  ""list"": [
    {
      ""_id"": ""64c9f5a79f6c8e0001b60b0a"",
      ""title"": ""我的第一篇文章"",
      ""content"": ""更新后的文章内容"",
      ""author"": ""张三""
      // ...
    }
    // ... 更多文章
  ],
  ""total"": 100,
  ""page"": 1,
  ""pageSize"": 10
}

// 搜索文章
wx.cloud.callFunction({
  name: 'post-management',
  data: {
    action: 'searchPosts',
    data: {
      keyword: '技术'
    }
  }
}).then(res => {
  console.log('搜索文章结果：', res)
})

// 响应示例
{
  ""data"": [
    {
      ""_id"": ""64c9f5a79f6c8e0001b60b0a"",
      ""title"": ""我的第一篇文章"",
      ""content"": ""更新后的文章内容"",
      ""author"": ""张三""
      // ...
    }
    // 更多文章
  ],
  ""requestId"": ""1735086147_0.36272387876657_33594-193f355e_1""
}
```",,,,6,,中文,,,,,"[""国际站"",""国内站""]",,,
transaction,"[""scfFunc""]",,账户转账模板,javascript,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/53d8f2779bca0200a7bba8850cf8332a-zdvy4znluicrkp9aj9mj7i4v3mklyf2n_.zip,账户交易云函数，包含事务操作示例,"[""数据库事务"",""金融系统"",""转账功能"",""云开发"",""事务处理"",""并发控制""]","你可以使用这个云函数来管理账户和交易。在小程序中测试调用这个云函数的示例代码如下：

```js
// 创建账户
wx.cloud.callFunction({
  name: 'transaction-management',
  data: {
    action: 'createAccount',
    data: {
      name: '张三',
      initialBalance: 1000
    }
  }
}).then(res => {
  console.log('创建账户结果：', res)
})

// 响应示例
{
  ""id"": ""xxx"",
  ""requestId"": ""1735086147_0.36272387876657_33594-193f355e_1""
}

// 转账操作
wx.cloud.callFunction({
  name: 'transaction-management',
  data: {
    action: 'transfer',
    data: {
      fromAccountId: 'account1',
      toAccountId: 'account2',
      amount: 100
    }
  }
}).then(res => {
  console.log('转账结果：', res)
})

// 响应示例
{
  ""success"": true,
  ""recordId"": ""xxx""
}

// 批量转账
wx.cloud.callFunction({
  name: 'transaction-management',
  data: {
    action: 'batchTransfer',
    data: {
      fromAccountId: 'account1',
      transfers: [
        { toAccountId: 'account2', amount: 50 },
        { toAccountId: 'account3', amount: 50 }
      ]
    }
  }
}).then(res => {
  console.log('批量转账结果：', res)
})

// 响应示例
{
  ""success"": true,
  ""records"": [""xxx1"", ""xxx2""]
}

// 查询余额
wx.cloud.callFunction({
  name: 'transaction-management',
  data: {
    action: 'getBalance',
    data: {
      accountId: 'account1'
    }
  }
}).then(res => {
  console.log('余额查询结果：', res)
})

// 响应示例
{
    ""result"": 800
}


// 查询交易历史
wx.cloud.callFunction({
  name: 'transaction-management',
  data: {
    action: 'getTransactionHistory',
    data: {
      accountId: 'account1'
    }
  }
}).then(res => {
  console.log('交易历史：', res)
})

// 响应示例
{
  ""data"": [
    {
      ""_id"": ""record3"",
      ""fromAccount"": ""account1"",
      ""toAccount"": ""account3"",
      ""amount"": 50,
      ""status"": ""success"",
      ""createdAt"": ""2023-08-02T08:30:15.000Z"",
      ""updatedAt"": ""2023-08-02T08:30:15.000Z""
    },
    {
      ""_id"": ""record2"",
      ""fromAccount"": ""account1"",
      ""toAccount"": ""account2"",
      ""amount"": 50,
      ""status"": ""success"",
      ""createdAt"": ""2023-08-02T08:30:15.000Z"",
      ""updatedAt"": ""2023-08-02T08:30:15.000Z""
    },
    {
      ""_id"": ""record1"",
      ""fromAccount"": ""account1"",
      ""toAccount"": ""account2"",
      ""amount"": 100,
      ""status"": ""success"",
      ""createdAt"": ""2023-08-02T08:30:15.000Z"",
      ""updatedAt"": ""2023-08-02T08:30:15.000Z""
    }
  ],
  ""requestId"": ""1735086147_0.36272387876657_33594-193f355e_1""
}

```",,,,7,,中文,,,,,"[""国际站"",""国内站""]",,,
user-management-sql,"[""scfFunc""]",,用户管理 SQL 模板,javascript,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/97a52ca8d203e47c38cca6384a7a5fb1-8cex0gdeu9def8su03q4rljnw3ig716g_.zip,用户管理云函数，包含 sql 操作示例 （目前仅支持 select 语句）,"[""云开发"",""用户管理"",""数据库查询"",""微信小程序"",""云函数""]","你可以使用这个云函数来管理用户。

当前仅开放了 select 语句，如果有其他 SQL 语句需求，请通过官方社群联系我们。

在小程序中测试调用这个云函数的示例代码如下：

```js

// 获取单个用户
wx.cloud.callFunction({
  name: 'user-management',
  data: {
    action: 'getUser',
    data: {
      id: 'xxx'
    }
  }
}).then(res => {
  console.log('获取用户结果：', res)
})

// 响应示例
{
  ""_id"": ""xxx"",
  ""username"": ""张三"",
  ""email"": ""zhangsan@example.com"",
  ""phone"": ""13900139000""
  // ...
}

// 分页获取用户列表
wx.cloud.callFunction({
  name: 'user-management',
  data: {
    action: 'listUsers',
    data: {
      page: 1,
      pageSize: 10
    }
  }
}).then(res => {
  console.log('获取用户列表结果：', res)
})

// 响应示例
{
  ""list"": [
    {
      ""_id"": ""xxx"",
      ""username"": ""张三"",
      ""email"": ""zhangsan@example.com"",
      ""phone"": ""13900139000""
    }
    // ... 更多用户
  ],
  ""total"": 100,
  ""page"": 1,
  ""pageSize"": 10
}

// 搜索用户
wx.cloud.callFunction({
  name: 'user-management',
  data: {
    action: 'searchUsers',
    data: {
      keyword: '张三'
    }
  }
}).then(res => {
  console.log('搜索用户结果：', res)
})

// 响应示例
[
  {
    ""id"": 1,
    ""username"": ""张三"",
    ""email"": ""zhangsan@example.com"",
    ""phone"": ""13900139000"",
  }
  // ... 更多匹配的用户
]
```",,,,8,,中文,,,,,"[""国际站"",""国内站""]",,,
wxpay-common,"[""scfFunc""]",,微信支付通用模板,javascript,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/6f9387bf53da6bdc4953e724e014a6bd-cy6xcoidvb8uq0b0he83vh9rh6ilk10z_.zip,微信支付通用模板,"[""微信支付"",""云函数"",""支付接口"",""订单管理"",""退款功能"",""小程序开发""]","这是一个微信支付相关的云函数,包含了统一下单、订单查询、退款等功能。

使用前，请确保已经正确安装和配置 **小程序微信支付** 云模板。

若未安装，可前往 模板中心-模板市场-小程序微信支付 进行安装。安装完成后，前往 模板中心-我的模板-小程序微信支付-参数设置，完成必要参数的配置。

以下是调用示例:

1. 统一下单:

```js
wx.cloud.callFunction({
  name: 'wxpay-common',
  data: {
    type: 'wxpay_order',
  },
  success: (res) => {
    console.log('下单成功', res.result);
    // res.result 示例:
    // {
    //   ""code"": 0,
    //   ""data"": {
    //     ""prepay_id"": ""wx2016121516****55928f9b1b2c0********""
    //   }
    // }
  },
  fail: (err) => {
    console.error('下单失败', err);
  },
});
```

2. 通过商户订单号查询订单:

```js
wx.cloud.callFunction({
  name: 'wxpay-common',
  data: {
    type: 'wxpay_query_order_by_out_trade_no',
  },
  success: (res) => {
    console.log('查询成功', res.result);
    // res.result 示例:
    // {
    //   ""code"": 0,
    //   ""data"": {
    //     ""out_trade_no"": ""2024040118006666"",
    //     ""transaction_id"": ""4200000001201801011234567890"",
    //     ""trade_state"": ""SUCCESS"",
    //     ""trade_state_desc"": ""支付成功""
    //   }
    // }
  },
});
```

3. 申请退款:

```js
wx.cloud.callFunction({
  name: 'wxpay-common',
  data: {
    type: 'wxpay_refund',
  },
  success: (res) => {
    console.log('退款申请成功', res.result);
    // res.result 示例:
    // {
    //   ""code"": 0,
    //   ""data"": {
    //     ""out_refund_no"": ""2024040118006666"",
    //     ""refund_id"": ""50000000382019052709732678859"",
    //     ""status"": ""SUCCESS""
    //   }
    // }
  },
});
```

4. 查询退款:

```js
wx.cloud.callFunction({
  name: 'wxpay-common',
  data: {
    type: 'wxpay_refund_query',
  },
  success: (res) => {
    console.log('退款查询成功', res.result);
    // res.result 示例:
    // {
    //   ""code"": 0,
    //   ""data"": {
    //     ""out_refund_no"": ""2024040118006666"",
    //     ""refund_status"": ""SUCCESS"",
    //     ""success_time"": ""2020-12-01T16:18:12+08:00""
    //   }
    // }
  },
});
```",,,,9,,中文,,,,,"[""国际站"",""国内站""]",,,
wxpay-product,"[""scfFunc""]",,商品下单模板,javascript,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/39f97560f88c8eab6c2a9e4e8adecaec-s0rx7ob09tbxnbgktfueem4nq8oagz74_.zip,微信支付云函数商品模板,"[""微信支付"",""订单系统"",""商品管理"",""支付流程"",""退款功能"",""数据库操作""]","这是一个完整的微信支付商品下单云函数示例,包含了商品查询、订单创建、支付、退款等完整流程。

使用前，请确保已经正确安装和配置 **小程序微信支付** 云模板。

若未安装，可前往 模板中心-模板市场-小程序微信支付 进行安装。安装完成后，前往 模板中心-我的模板-小程序微信支付-参数设置，完成必要参数的配置。

以下是调用示例:

1. 创建商品订单:

```js
wx.cloud.callFunction({
  name: 'wxpay-product',
  data: {
    type: 'wxpay_order',
    productId: 'product123', // 商品ID
    count: 2, // 购买数量
  },
  success: (res) => {
    console.log('下单成功', res.result);
    // res.result 示例:
    // {
    //   ""code"": 0,
    //   ""data"": {
    //     ""prepay_id"": ""wx2016121516****55928f9b1b2c0********"",
    //     ""out_trade_no"": ""202404011800666688888""
    //   }
    // }
  },
});
```

2. 查询订单状态(通过商户订单号):

```js
wx.cloud.callFunction({
  name: 'wxpay-product',
  data: {
    type: 'wxpay_query_order_by_out_trade_no',
    outTradeNo: '202404011800666688888',
  },
  success: (res) => {
    console.log('查询成功', res.result);
    // res.result 示例:
    // {
    //   ""code"": 0,
    //   ""data"": {
    //     ""out_trade_no"": ""202404011800666688888"",
    //     ""transaction_id"": ""4200000001202404011234567890"",
    //     ""trade_state"": ""SUCCESS"",
    //     ""trade_state_desc"": ""支付成功""
    //   }
    // }
  },
});
```

3. 申请退款:

```js
wx.cloud.callFunction({
  name: 'wxpay-product',
  data: {
    type: 'wxpay_refund',
    orderId: 'order123', // 订单ID
  },
  success: (res) => {
    console.log('退款申请成功', res.result);
    // res.result 示例:
    // {
    //   ""code"": 0,
    //   ""data"": {
    //     ""out_refund_no"": ""202404011800777788888"",
    //     ""refund_id"": ""50000000382019052709732678859"",
    //     ""status"": ""SUCCESS""
    //   }
    // }
  },
});
```

4. 查询退款状态:

```js
wx.cloud.callFunction({
  name: 'wxpay-product',
  data: {
    type: 'wxpay_refund_query',
    outRefundNo: '202404011800777788888',
  },
  success: (res) => {
    console.log('退款查询成功', res.result);
    // res.result 示例:
    // {
    //   ""code"": 0,
    //   ""data"": {
    //     ""out_refund_no"": ""202404011800777788888"",
    //     ""refund_status"": ""SUCCESS"",
    //     ""success_time"": ""2024-04-01T16:18:12+08:00"",
    //     ""amount"": {
    //       ""refund"": 100,
    //       ""total"": 100,
    //       ""currency"": ""CNY""
    //     }
    //   }
    // }
  },
});
```

注意事项:

1. 商品信息从数据库查询,不要从前端传入
2. 用户openid从云函数上下文获取,不要从前端传入
3. 订单相关信息需要存储到数据库
4. 退款操作需要更新订单状态
5. 建议对所有操作加入适当的错误处理",,,,10,,中文,,,,,"[""国际站"",""国内站""]",,,
helloworld,"[""tcbrContainer""]",,函数型开发框架示例,Node.js,Nodejs20.18,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/7020a99bf6bc4cfb2bf450d2ad6d14b3-func-v2-template.zip,提供通过函数型框架开发云托管服务的示例,"[""helloworld""]","此模板为云托管函数开发框架的示例模板。

使用此模板将会快速完成一个云托管服务的创建，创建完成后将会包含若干可调用函数：
* 主路径：输出 “Hello world!”
* echo：输出具体请求内容

可以通过如下方式，在小程序中调用函数：
```js
// 容器调用必填环境id，不能为空
const c1 = new wx.cloud.Cloud({
    resourceEnv: '环境id'
})
await c1.init()
 
const r1 = await c1.callContainer({
    path: '/',   // 默认函数对应的请求路径
    header: {
        'X-WX-SERVICE': 'helloworld', // 填入创建时的函数名称 helloworld
    },  
    // 其余参数同 wx.request
    method: 'GET',
})
console.log(r1) //输出 Hello world!
const r2 = await c1.callContainer({
    path: '/echo',   // echo 函数对应的请求路径
    header: {
        'X-WX-SERVICE': 'helloworld', // 填入创建时的函数名称 helloworld
    },
    // 其余参数同 wx.request
    method: 'POST',
    data: {
        a: 1,
        b: 2
    }
})
console.log(r2)  //输出具体请求及时间
```
  
详细的代码及可调用内容、或进一步的使用方式可见[模板仓库](https://github.com/TencentCloudBase/func-v2-template/tree/main)",crunbuild-az-new.tencentcloudcr.com/cloudbase/func-v2-template:v1.0.0,3000,否,1,,中文,,https://github.com/TencentCloudBase/func-v2-template.git;https://gitee.com/TencentCloudBase/func-v2-template.git,部署开源项目,,"[""国际站"",""国内站""]",,,
gin,"[""tcbrContainer"",""scfWeb""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/cd946d0e7e8c1a22a43398a6b41f2d93-gin-color.svg,Gin 模板,Golang,Go1,main,是,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/59105b92ea22dfecba473fd153b77776-cloudrun-gin.zip,基于 Go 语言 Gin 框架实现的 HTTP 调用示例,"[""HTTPFunc"",""WebFramework"",""Golang"",""Gin""]","# 快速部署 Gin 应用

源码详情请参考:

* github: https://github.com/TencentCloudBase/cloudrun-gin
* gitee: https://gitee.com/TencentCloudBase/cloudrun-gin",crunbuild-az-new.tencentcloudcr.com/cloudbase/cbrf-template-gin-example:v1.0.0,8080,,2,,中文,"[""platform-run""]",https://github.com/TencentCloudBase/cloudrun-gin.git;https://gitee.com/TencentCloudBase/cloudrun-gin.git,使用开源框架创建服务,,"[""国际站"",""国内站""]",,,
django,"[""tcbrContainer"",""scfWeb""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/c00f664a239e237ba12d699c13366537-django-logo-positive.svg,Django 模板,Python,Python3.10,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/b7f3fd068cb30bd6d08deb49b7231548-cloudrun-django-app.zip,基于 Python 语言 Django 框架实现的 HTTP 调用示例,"[""Python"",""Django"",""HTTPFunc"",""WebFramework""]","# 快速部署 Django 应用

源码详情请参考:

* github: https://github.com/TencentCloudBase/cloudrun-django
* gitee: https://gitee.com/TencentCloudBase/cloudrun-django",crunbuild-az-new.tencentcloudcr.com/cloudbase/cbrf-template-django-example:v1.0.0,8080,,3,,中文,"[""platform-run""]",https://github.com/TencentCloudBase/cloudrun-django.git;https://gitee.com/TencentCloudBase/cloudrun-django.git,使用开源框架创建服务,,"[""国际站"",""国内站""]",,,
flask,"[""tcbrContainer"",""scfWeb""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/a43a2f509a02123f1b9275868452b1c3-flask-dark.svg,Flask 模板,Python,Python3.10,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/f508a581e171d539b55363483f1fb9da-cloudrun-flask-app.zip,基于 Python 语言 Flash 框架实现的 HTTP 调用示例,"[""Python"",""Flask"",""HTTPFunc"",""WebFramework""]","# 快速部署 Flask 应用

源码详情请参考:

* github: https://github.com/TencentCloudBase/cloudrun-flask
* gitee: https://gitee.com/TencentCloudBase/cloudrun-flask",crunbuild-az-new.tencentcloudcr.com/cloudbase/cbrf-template-flask-example:v1.0.0,8080,,4,,中文,,https://github.com/TencentCloudBase/cloudrun-flask.git;https://gitee.com/TencentCloudBase/cloudrun-flask.git,使用开源框架创建服务,,"[""国际站"",""国内站""]",,,
springboot,"[""tcbrContainer""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/328d8d380a3913553d94f326558810f1-Spring_Boot.svg,Springboot 模板,Java,Java11,main,是,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/49174bd47addd35f28657bee08c1c69c-cloudrun-springboot-app.zip,基于 Java 语言框架 Spingboot 实现的 HTTP 调用示例,"[""Java"",""Springboot"",""HTTPFunc"",""WebFramework""]","# 快速部署 Springboot 应用

源码详情请参考:

* github: https://github.com/TencentCloudBase/cloudrun-springboot
* gitee: https://gitee.com/TencentCloudBase/cloudrun-springboot",crunbuild-az-new.tencentcloudcr.com/cloudbase/cbrf-template-springboot-example:v1.0.0,8080,,5,,中文,"[""platform-run""]",https://github.com/TencentCloudBase/cloudrun-springboot.git;https://gitee.com/TencentCloudBase/cloudrun-springboot.git,使用开源框架创建服务,,"[""国内站"",""国际站""]",,,
express,"[""tcbrContainer"",""scfWeb""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/fd8081e956a2608b586963017d0111f7-Express.svg,Express 模板,Nodejs,Nodejs,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/f5833f4d15023e8fca8bcc31ea571eeb-cloudrun-express.zip,基于 Nodejs 语言框架 Express 实现的 HTTP 调用示例,"[""Nodejs"",""Express"",""HTTPFunc"",""WebFramework""]","# 快速部署 Express 应用

源码详情请参考

* github: https://github.com/TencentCloudBase/cloudrun-express
* gitee: https://gitee.com/TencentCloudBase/cloudrun-express",crunbuild-az-new.tencentcloudcr.com/cloudbase/cbrf-template-express-example:v1.0.0,3000,否,6,,中文,"[""platform-run""]",https://github.com/TencentCloudBase/cloudrun-express.git;https://gitee.com/TencentCloudBase/cloudrun-express.git,使用开源框架创建服务,,"[""国内站"",""国际站""]",,,
nestjs,"[""tcbrContainer"",""scfWeb""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/cd48f6afd878239823f461784613c21b-Nest.js.svg,Nestjs 模板,Nodejs,Nodejs,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/9b42f9a08297fe259f6329d71ce76015-cloudrun-nestjs-app.zip,基于 Nodejs 语言框架 Nestjs 实现的 HTTP 调用示例,"[""Nodejs"",""Nestjs"",""HTTPFunc"",""WebFramework""]","# 快速部署 Nestjs 应用

源码详情请参考:

* github: https://github.com/TencentCloudBase/cloudrun-nestjs 
* gitee: https://gitee.com/TencentCloudBase/cloudrun-nestjs",crunbuild-az-new.tencentcloudcr.com/cloudbase/cbrf-template-nestjs-example:v1.0.0,3000,,7,,中文,,https://github.com/TencentCloudBase/cloudrun-nestjs.git;https://gitee.com/TencentCloudBase/cloudrun-nestjs,,,"[""国际站"",""国内站""]",,,
fastapi,"[""tcbrContainer"",""scfWeb""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/339a9c05a139861acae41b63d2370277-FastAPI.svg,FastAPI 模板,Python,Python3.10,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/c589866f6f05ccb2ce12bf1b0e1b0ea7-cloudrun-fastapi-app.zip,基于 Python 框架 FastAPI 的 HTTP 服务,"[""python"",""fastapi""]","# 快速部署 FastAPI 应用

源码详情请参考:

* github: https://github.com/TencentCloudBase/cloudrun-fastapi
* gitee: https://gitee.com/TencentCloudBase/cloudrun-fastapi",crunbuild-az-new.tencentcloudcr.com/cloudbase/cbrf-template-fastapi-example:v1.0.0,8080,,8,,中文,,https://github.com/TencentCloudBase/cloudrun-fastapi.git;https://gitee.com/TencentCloudBase/cloudrun-fastapi.git,,,"[""国内站"",""国际站""]",,,
scfWeb,"[""scfWeb""]",,http 云函数,javascript,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/c30a261c2342e7dbd0455c1815a3f9d6-exqvqhwgmxmfhpd4yadueu6pyyxi7tm8_.zip,http 云函数示例模板,"[""JavaScript"",""http 云函数""]",,,,,11,,中文,,,,,"[""国内站"",""国际站""]",,,
phpMyAdmin,"[""tcbrContainer""]",cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/03f209fb5add2a57b20592d0da3fc870-PhpMyAdmin_logo.svg,phpMyAdmin,PHP,PHP,main,否,,,phpMyAdmin 是一个非常流行的开源 Web 应用，用于管理 MySQL 和 MariaDB 数据库。它基于 PHP 开发，提供图形化界面，方便用户执行数据库管理任务，比如创建数据库、执行 SQL 查询、管理用户权限、导入导出数据等。,"[""php"",""phpMyAdmin""]","# phpMyAdmin 数据库管理工具
## 介绍
phpMyAdmin 是一款用 PHP 编写的免费软件工具，旨在通过 Web 管理 MySQL。phpMyAdmin 支持 MySQL 和 MariaDB 的多种操作。您可以通过用户界面执行常用操作（管理数据库、表、列、关系、索引、用户、权限等），同时您仍然可以直接执行任何 SQL 语句。
## 使用
为了保证安全，我们设置默认情况下 phpMyAdmin 可以连接任意的数据库，每次打开都需要输入数据库登录信息，且服务器本身并不会保存数据库连接信息。

## 连接腾讯云 CloudBase MySQL 数据库
数据模型服务默认内置了 MySQL 数据库，默认情况下，该 MySQL 与云托管服务内网互通，即只需要在腾讯云 CloudBase MySQL 数据库开启内网访问即可。",phpmyadmin:5.2.2-apache,80,否,10,"	/platform-run/service/create?type=image&image=phpmyadmin:5.2.2-apache&serverName=phpmyadmin",中文,,,部署开源项目,"[{""value"":""1"",""key"":""PMA_ARBITRARY""}]","[""国内站""]",,,
